x,y,z 
0.0,0.0,1320.0
0.0,498.399,1321.0
0.0,996.707,1320.0
0.0,1495.107,1322.0
0.0,1993.506,1331.0
0.0,2491.906,1335.0
0.0,2990.214,1334.0
0.0,3488.613,1335.0
0.0,3987.013,1334.0
0.0,4485.412,1324.0
0.0,4983.72,1313.0
0.0,5482.12,1309.0
0.0,5980.519,1300.0
0.0,6478.919,1296.0
0.0,6977.227,1306.0
0.0,7475.626,1291.0
0.0,7974.025,1302.0
0.0,8472.333,1315.0
0.0,8970.733,1318.0
0.0,9469.132,1333.0
0.0,9967.532,1373.0
0.0,10465.839,1392.0
0.0,10964.239,1422.0
0.0,11462.638,1363.0
0.0,11961.038,1341.0
0.0,12459.346,1268.0
0.0,12957.745,1225.0
0.0,13456.144,1263.0
0.0,13954.544,1286.0
0.0,14452.851,1304.0
0.0,14951.251,1287.0
0.0,15449.65,1209.0
0.0,15947.958,1253.0
0.0,16446.357,1109.0
0.0,16944.756,1067.0
0.0,17443.156,1024.0
0.0,17941.463,1011.0
0.0,18439.863,931.0
0.0,18938.262,878.0
0.0,19436.661,964.0
0.0,19934.969,891.0
0.0,20433.368,901.0
0.0,20931.767,847.0
0.0,21430.166,826.0
0.0,21928.474,811.0
0.0,22426.873,800.0
0.0,22925.272,799.0
0.0,23423.58,794.0
0.0,23921.979,768.0
0.0,24420.378,763.0
0.0,24918.777,747.0
0.0,25417.084,738.0
0.0,25915.483,728.0
0.0,26413.882,719.0
0.0,26912.281,714.0
0.0,27410.589,705.0
0.0,27908.988,696.0
0.0,28407.386,689.0
0.0,28905.785,683.0
0.0,29404.093,676.0
0.0,29902.491,669.0
0.0,30400.89,664.0
0.0,30899.198,658.0
0.0,31397.596,652.0
0.0,31895.995,661.0
0.0,32394.394,681.0
0.0,32892.701,668.0
0.0,33391.1,647.0
0.0,33889.498,633.0
0.0,34387.897,622.0
0.0,34886.204,618.0
0.0,35384.603,618.0
0.0,35883.001,616.0
0.0,36381.4,622.0
0.0,36879.707,622.0
0.0,37378.105,620.0
0.0,37876.503,612.0
0.0,38374.81,590.0
0.0,38873.209,586.0
0.0,39371.607,579.0
0.0,39870.005,573.0
0.0,40368.312,569.0
0.0,40866.71,562.0
0.0,41365.109,563.0
0.0,41863.507,559.0
0.0,42361.813,557.0
0.0,42860.212,552.0
0.0,43358.61,549.0
0.0,43857.008,544.0
0.0,44355.314,540.0
0.0,44853.712,540.0
0.0,45352.11,535.0
0.0,45850.417,533.0
0.0,46348.815,528.0
0.0,46847.213,527.0
0.0,47345.61,526.0
0.0,47843.917,524.0
0.0,48342.314,523.0
0.0,48840.712,528.0
0.0,49339.11,537.0
0.0,49837.416,536.0
0.0,50335.814,530.0
0.0,50834.211,518.0
0.0,51332.609,520.0
0.0,51830.915,520.0
0.0,52329.312,519.0
0.0,52827.71,515.0
0.0,53326.016,517.0
0.0,53824.413,515.0
0.0,54322.81,512.0
0.0,54821.207,512.0
0.0,55319.513,508.0
0.0,55817.91,503.0
0.0,56316.308,500.0
0.0,56814.705,494.0
0.0,57313.01,491.0
0.0,57811.407,484.0
0.0,58309.804,481.0
0.0,58808.201,475.0
0.0,59306.507,475.0
0.0,59804.903,471.0
0.0,60303.3,470.0
0.0,60801.606,466.0
0.0,61300.002,462.0
0.0,61798.399,460.0
0.0,62296.796,458.0
0.0,62795.101,457.0
0.0,63293.497,456.0
0.0,63791.894,454.0
0.0,64290.29,452.0
0.0,64788.595,451.0
0.0,65286.991,451.0
0.0,65785.388,450.0
0.0,66283.784,449.0
0.0,66782.089,448.0
0.0,67280.485,449.0
0.0,67778.881,446.0
0.0,68277.185,446.0
0.0,68775.581,446.0
0.0,69273.977,450.0
0.0,69772.373,444.0
0.0,70270.678,444.0
0.0,70769.073,443.0
0.0,71267.469,444.0
0.0,71765.865,444.0
0.0,72264.169,444.0
0.0,72762.565,445.0
0.0,73260.96,445.0
0.0,73759.356,444.0
0.0,74257.659,444.0
0.0,74756.055,446.0
0.0,75254.45,444.0
0.0,75752.754,445.0
0.0,76251.149,446.0
0.0,76749.544,446.0
0.0,77247.939,443.0
0.0,77746.243,442.0
0.0,78244.638,442.0
0.0,78743.033,443.0
0.0,79241.428,440.0
0.0,79739.731,441.0
0.0,80238.126,438.0
0.0,80736.52,441.0
0.0,81234.915,440.0
0.0,81733.218,440.0
0.0,82231.613,442.0
0.0,82730.007,439.0
0.0,83228.31,442.0
0.0,83726.704,440.0
0.0,84225.098,440.0
0.0,84723.493,439.0
0.0,85221.795,437.0
